x;y;RSSI A;RSSI B;RSSI C;RSSI D;RSSI E
1;0.9;-92;-42.25717501;-46.7186269;-92;-91.62211593
3;0.9;-92;-38.93468835;-53.7802168;-92;-91.45067751
5;0.9;-92;-39;-59.87496488;-92;-91.67884237
1;2.7;-92;-40.70206819;-62.75712689;-92;-90.74678591
3;2.7;-92;-39;-61.18962076;-92;-91.54576561
5;2.7;-92;-39.68528761;-60.28844027;-92;-90.83324115
1;4.5;-92;-41.79135447;-52.16253602;-92;-91
3;4.5;-92;-46.43685714;-49.87085714;-92;-88.62914286
5;4.5;-92;-42.16578434;-54.07996656;-92;-90.72471441
1;6.3;-92;-49.40953333;-56.35393333;-92;-88.21306667
3;6.3;-92;-48.91113333;-55.11166667;-92;-90.21646667
5;6.3;-92;-45.04099037;-48.37166437;-92;-87.56423659
1;8.1;-92;-45.58943544;-57.81609838;-92;-88.2724986
3;8.1;-92;-46.94479026;-45.36346414;-92;-87.81705007
5;8.1;-92;-46.4309867;-45.30238359;-92;-83.01108647
3.61;9.75;-78.4332871;-58.55284327;-39.30457698;-92;-73.99112344
3.61;11.25;-81.96023039;-60.3414701;-40.64563906;-92;-70.67553483
5.03;9.75;-78.69699454;-63.69863388;-39.41010929;-91.19972678;-69.67513661
5.03;11.25;-81.0467474;-69.48915798;-39.08504647;-92;-67.79808505
6.45;9.75;-75.9347181;-68.30995414;-40.31939574;-92;-65.99811168
6.45;11.25;-80.10082873;-70.98535912;-42.47624309;-92;-65.38370166
7.87;9.75;-85.25809965;-72.3337871;-56.70732371;-92;-60.19956439
7.87;11.25;-83.73842783;-79.91317447;-55.84442618;-91.81128458;-60.46946042
9.29;9.75;-89.35224203;-77.271745;-59.43381956;-92;-61.43057807
9.29;11.25;-78.1805594;-74.17225145;-58.17225145;-88.91359734;-48.24342287
11.28;10.45;-62.39825898;-80.42355822;-69.41866159;-91.54951034;-48.19396083
13.84;10.45;-71.94496898;-87.53196655;-75.43997842;-90.50903696;-44.05017534
16.4;10.45;-73.25701944;-89.21382289;-73.15577754;-88.60394168;-47.6325594
18.96;10.45;-74.92320306;-89.72970757;-73.18256354;-85.36348729;-48.58021317
11.28;12.35;-68.92179072;-79.97923409;-69.85059331;-86.20846818;-40.78910464
13.84;12.35;-68.1288;-87.91226667;-77.01573333;-88.876;-43.2768
16.4;12.35;-65.31173333;-89.17226667;-73.60106667;-86.856;-45.67226667
18.96;12.35;-66.56090266;-89.2675367;-72.62697118;-84.59787928;-42.96574225
11.28;14.25;-70.36195652;-85.25652174;-79.29347826;-87.67255435;-45.18097826
13.84;14.25;-73.89983444;-88.89266004;-76.96054084;-89.41777042;-42.60182119
16.4;14.25;-75.48264893;-89.29930596;-76.11017929;-88.31463274;-50.8935801
18.96;14.25;-75.65739466;-86.89644726;-76.03277334;-90.23409529;-49.91214541
11.28;16.15;-75.58673609;-91.189641;-79.59632776;-87.13729789;-48.28912031
13.84;16.15;-72.73956875;-87.3783254;-76.35088211;-88.30075609;-52.36852422
16.4;16.15;-74.37814888;-82.35578828;-78.4341919;-89.79705633;-54.50042457
18.96;16.15;-73.06451613;-87.13893605;-76.30673458;-91.10045274;-52.74561404
20.89;11.95;-50.79926283;-90.02438333;-76.77374539;-75.18514318;-45.50552878
22.19;11.95;-54.74717833;-90.72629797;-76.43227991;-74.46726862;-64.9494921
23.49;11.95;-50.04571593;-92;-81.72742956;-76.02012651;-68.23691777
24.79;11.95;-44.31970046;-91.76497696;-83.08006912;-68.44988479;-69.70910138
26.09;11.95;-40.06402696;-91.26986801;-79.14097164;-61.18169054;-73.73294019
27.39;11.95;-41.01733781;-91.59703579;-80.92841163;-57.81879195;-76.36828859
28.69;11.95;-42.90870428;-92;-77.86192231;-62.65466402;-77.60788205
29.99;11.95;-40.52237136;-91.78467562;-77.71644295;-60.424217;-76.81543624
23.4;9.85;-44.62513966;-92;-90.75614525;-53.03910615;-78.4472067
25.4;9.85;-45.85506051;-92;-90.90264026;-48.35753575;-80.24889989
27.4;9.85;-54.64149904;-92;-90.55111601;-54.11160099;-81.76219344
23.4;7.75;-48.66351502;-92;-92;-57.34844271;-79.75083426
25.4;7.75;-54.50853147;-92;-91.95496503;-47.33902098;-87.25426573
27.4;7.75;-54.48769699;-92;-90.99115289;-48.7144042;-84.15261266
23.4;5.65;-53.37517166;-92;-92;-53.64432848;-85.5363911
25.4;5.65;-58.40361771;-92;-92;-53.4087473;-87.35421166
27.4;5.65;-59.9268158;-92;-92;-52.87793427;-86.51670809
23.4;3.55;-64.29886646;-92;-92;-42.14570086;-90.90599945
25.4;3.55;-62.31126374;-92;-92;-41.23901099;-91.24065934
27.4;3.55;-62.15388904;-92;-92;-45.28882074;-90.05436298
23.4;1.45;-66.46687341;-92;-92;-40.96250352;-91.84324782
25.4;1.45;-70.09159892;-92;-92;-41.65067751;-91.31084011
27.4;1.45;-67.32414911;-92;-92;-52.86439762;-89.74257158
16;18.05;-71.55963303;-91.59862385;-77.55533257;-89.28239679;-58.87700688
18.56;18.05;-72.13740023;-89.22149373;-82.11259977;-87.48118586;-56.39965792
16;19.95;-72.492758;-91.98430899;-86.96137598;-88.45684973;-65.64182257
18.56;19.95;-76.51745495;-91.37668919;-89.47972973;-89.53237613;-63.0785473
18.56;8.55;-75.61780673;-88.98425624;-87.98289902;-86.89875136;-57.8232899
18.56;6.65;-75.88232074;-84.72331691;-88.242474;-84.07963875;-64.05500821
