x;y;RSSI A;RSSI B;RSSI C;RSSI D;RSSI E
1;0.9;-92;-45.87957231;-50.28953292;-92;-87.52729319
3;0.9;-92;-40.43550136;-48.63414634;-92;-85.91653117
5;0.9;-92;-39.4759764;-52.35965159;-92;-89.04467547
1;2.7;-92;-44.6411403;-48.80156512;-92;-88.86137507
3;2.7;-92;-41.88394639;-55.40062732;-92;-86.51554035
5;2.7;-92;-38.83517699;-50.17201327;-92;-88.25691372
1;4.5;-92;-41.93832853;-51.46080692;-92;-85.73919308
3;4.5;-91.94714286;-42.60514286;-49.12342857;-92;-90.60085714
5;4.5;-92;-44.22708275;-48.26302591;-92;-88.49261633
1;6.3;-91.98933333;-42.77673333;-49.72753333;-92;-88.4034
3;6.3;-92;-44.63053333;-45.2884;-92;-88.16526667
5;6.3;-91.99284732;-43.02310867;-46.08308116;-92;-76.3213205
1;8.1;-91.88652879;-44.17188373;-46.93264394;-92;-75.99105646
3;8.1;-91.92963464;-44.65656292;-45.87334235;-92;-70.56725304
5;8.1;-90.77134146;-47.88220621;-45.19900222;-92;-71.79268293
3.61;9.75;-61.85742025;-53.6482663;-43.2257975;-91.85104022;-63.31428571
3.61;11.25;-63.20844761;-48.20405924;-39.16346681;-88.11464619;-63.45309929
5.03;9.75;-61.53825137;-57.27759563;-41.13989071;-85.28087432;-61.13797814
5.03;11.25;-68.58659533;-61.35032385;-42.48155449;-89.87890735;-63.51393974
6.45;9.75;-57.81818182;-59.90477475;-38.62287564;-88.8599946;-60.15727003
6.45;11.25;-63.57403315;-60.4621547;-37.41077348;-91.17099448;-58.99944751
7.87;9.75;-66.04573918;-57.82793357;-46.42798802;-86.16689355;-87.95317179
7.87;11.25;-61.34511093;-57.15913448;-41.31087373;-87.81840592;-87.99561764
9.29;9.75;-67.64154511;-61.60588871;-44.52836305;-90.52701243;-89.39059968
9.29;11.25;-60.60758793;-56.52340072;-42.46552202;-83.53420105;-79.47466076
11.28;10.45;-52.15750816;-64.7562568;-45.95348205;-81.3531012;-48.1585963
13.84;10.45;-52.09171837;-66.01294848;-55.18262746;-76.31534934;-50.8055031
16.4;10.45;-54.50539957;-66.4762419;-58.16765659;-75.88903888;-51.25134989
18.96;10.45;-57.54359115;-69.13664936;-60.35638153;-73.43345176;-51.62066138
11.28;12.35;-49.91882416;-71.00701187;-53.63996764;-79.66963323;-79.53721683
13.84;12.35;-48.43326667;-66.1824;-51.96893333;-79.75753333;-85.0952
16.4;12.35;-46.85693333;-67.2444;-49.56786667;-83.20106667;-87.86346667
18.96;12.35;-47.4004894;-71.68189233;-53.21669386;-75.75285481;-87.2862969
11.28;14.25;-57.92065217;-69.84891304;-61.84157609;-84.4298913;-87.28586957
13.84;14.25;-61.35126932;-64.81098234;-55.98399558;-84.83719647;-84.29359823
16.4;14.25;-62.62145749;-70.82793522;-60.9719491;-81.77327935;-80.02515905
18.96;14.25;-59.22721013;-71.27843569;-64.7700358;-86.62654916;-77.13908014
11.28;16.15;-59.54617703;-73.82981639;-64.58262538;-81.67333516;-85.65469992
13.84;16.15;-61.85690283;-69.6925231;-63.91290955;-83.32679922;-84.20190423
16.4;16.15;-65.36427965;-70.95499575;-64.97226153;-88.68440419;-86.41720917
18.96;16.15;-65.48839842;-70.14544426;-63.55036786;-89.27249576;-82.91001698
20.89;11.95;-54.27587185;-68.34023249;-56.97873547;-75.46299972;-92
22.19;11.95;-49.83577878;-76.4023702;-62.91281038;-70.61173815;-89.8484763
23.49;11.95;-51.82604945;-81.08884416;-64.82432432;-68.35940196;-90.35278896
24.79;11.95;-45.31797235;-80.88853687;-66.58640553;-71.08006912;-89.52620968
26.09;11.95;-46.20190958;-81.87728166;-64.05026678;-63.79809042;-88.42965459
27.39;11.95;-42.94602908;-82.65044743;-62.68568233;-56.28383669;-88.59871365
28.69;11.95;-38.76637369;-81.07258293;-67.24128154;-61.54210377;-88.01616104
29.99;11.95;-40.91834452;-83.14569351;-67.90352349;-60.84004474;-88.67785235
23.4;9.85;-45.17150838;-91.16564246;-71.61005587;-53.61256983;-90.03715084
25.4;9.85;-45.99917492;-90.88558856;-67.41886689;-50.97634763;-88.89328933
27.4;9.85;-46.37586112;-91.5420226;-71.91430146;-52.56682282;-89.64397906
23.4;7.75;-46.00695217;-91.78893215;-75.06701891;-55.48081201;-90.49610679
25.4;7.75;-49.45874126;-91.88923077;-76.62237762;-52.82853147;-90.96559441
27.4;7.75;-48.99585292;-91.89411114;-70.21398949;-53.61957423;-89.42355543
23.4;5.65;-50.68305411;-91.8511398;-77.9299643;-53.79538588;-91.10985993
25.4;5.65;-49.7899568;-92;-80.62392009;-48.31074514;-91.57154428
27.4;5.65;-52.9908865;-92;-80.45042806;-46.18972659;-90.22369511
23.4;3.55;-63.12247719;-91.97152336;-84.47000276;-44.96544097;-91.56787393
25.4;3.55;-55.30769231;-91.86428571;-83.16043956;-49.74532967;-91.11895604
27.4;3.55;-56.01784221;-92;-82.19180374;-49.69751882;-91.40479509
23.4;1.45;-60.24161263;-92;-83.60022554;-45.00817592;-91.5303073
25.4;1.45;-55.13794038;-92;-84.73604336;-45.72357724;-91.50162602
27.4;1.45;-52.99783901;-91.9832523;-82.70880605;-44.75985954;-91.15613182
16;18.05;-69.11582569;-78.44466743;-71.88331422;-88.28583716;-86.87184633
18.56;18.05;-65.69697834;-78.47377423;-68.49173318;-77.11630559;-88.84378563
16;19.95;-69.99547375;-82.70669885;-70.68255884;-86.79028365;-83.8958962
18.56;19.95;-69.99436937;-79.82291667;-66.5419482;-80.29757883;-79.4473536
18.56;8.55;-69.43403909;-68.3232899;-66.95276873;-73.03501629;-78.2869164
18.56;6.65;-72.58565955;-70.74657909;-66.94745484;-73.18363437;-81.71428571
