x;y;RSSI A;RSSI B;RSSI C
1.2031;0;-63;-79;-75
2.406;0;-72;-85;-77
3.609;0;-78;-76;-79
4.8125;0;-75;-76;-71
6.0155;0;-79;-75;-66
7.218;0;-79;-74;-74
8.421;0;-81;-81;-69
0.601;0.623;-66;-82;-76
1.804;0.623;-71;-77;-71
3.007;0.623;-75;-72;-72
4.2257;0.623;-74;-70;-72
5.414;0.623;-78;-70;-78
6.616;0.623;-75;-71;-67
7.8195;0.623;-81;-66;-69
9.023;0.623;-80;-59;-74
0;1.246;-73;-75;-75
1.2031;1.246;-66;-80;-75
2.406;1.246;-74;-77;-71
3.609;1.246;-75;-70;-70
4.8125;1.246;-79;-74;-61
6.0155;1.246;-79;-66;-72
7.218;1.246;-78;-70;-73
8.421;1.246;-85;-68;-69
9.625;1.246;-78;-70;-78
0.601;1.869;-71;-74;-78
1.804;1.869;-64;-74;-70
3.007;1.869;-72;-71;-71
4.2257;1.869;-77;-76;-71
5.414;1.869;-77;-74;-62
6.616;1.869;-76;-66;-65
7.8195;1.869;-80;-73;-77
9.023;1.869;-85;-73;-80
0;2.492;-76;-86;-81
1.2031;2.492;-72;-75;-74
2.406;2.492;-68;-71;-77
3.609;2.492;-75;-65;-68
6.0155;2.492;-78;-67;-70
7.218;2.492;-82;-75;-72
8.421;2.492;-79;-70;-75
9.625;2.492;-73;-72;-79
