x;y;RSSI A;RSSI B;RSSI C
1.2031;0;-20;-50;-35
2.406;0;-36;-38;-33
3.609;0;-49;-41;-32
4.8125;0;-43;-38;-36
6.0155;0;-40;-43;-27
7.218;0;-40;-39;-34
8.421;0;-42;-41;-31
0.601;0.623;-31;-43;-48
1.804;0.623;-34;-49;-32
3.007;0.623;-45;-37;-37
4.2257;0.623;-39;-44;-32
5.414;0.623;-38;-42;-26
6.616;0.623;-43;-45;-27
7.8195;0.623;-40;-35;-32
9.023;0.623;-42;-29;-38
0;1.246;-31;-57;-34
1.2031;1.246;-36;-47;-35
2.406;1.246;-37;-45;-35
3.609;1.246;-33;-35;-38
4.8125;1.246;-39;-41;-34
6.0155;1.246;-48;-39;-26
7.218;1.246;-45;-32;-30
8.421;1.246;-39;-36;-35
9.625;1.246;-39;-29;-41
0.601;1.869;-29;-44;-36
1.804;1.869;-40;-44;-36
3.007;1.869;-32;-38;-39
4.2257;1.869;-46;-41;-31
5.414;1.869;-40;-48;-15
6.616;1.869;-50;-33;-29
7.8195;1.869;-50;-29;-35
9.023;1.869;-48;-33;-37
0;2.492;-35;-54;-51
1.2031;2.492;-30;-41;-42
2.406;2.492;-35;-48;-35
3.609;2.492;-38;-37;-34
6.0155;2.492;-40;-34;-30
7.218;2.492;-45;-33;-31
8.421;2.492;-43;-33;-34
9.625;2.492;-46;-32;-35
