x;y;RSSI A;RSSI B;RSSI C;Point
1.2031;0;-51;-72;-60;1
2.406;0;-64;-72;-59;2
3.609;0;-66;-67;-54;3
4.8125;0;-58;-73;-46;4
6.0155;0;-59;-60;-54;5
7.218;0;-61;-64;-48;6
8.421;0;-70;-55;-53;7
0.601;0.623;-48;-63;-65;8
1.804;0.623;-48;-73;-54;9
3.007;0.623;-55;-66;-55;10
4.2257;0.623;-55;-60;-63;11
5.414;0.623;-57;-64;-51;12
6.616;0.623;-60;-60;-43;13
7.8195;0.623;-67;-61;-55;14
9.023;0.623;-70;-46;-49;15
0;1.246;-47;-71;-61;16
1.2031;1.246;-52;-59;-56;17
2.406;1.246;-55;-63;-50;18
3.609;1.246;-52;-72;-59;19
4.8125;1.246;-63;-70;-57;20
6.0155;1.246;-59;-59;-44;21
7.218;1.246;-65;-58;-48;22
8.421;1.246;-58;-49;-49;23
9.625;1.246;-65;-47;-58;24
0.601;1.869;-49;-73;-59;25
1.804;1.869;-46;-74;-67;26
3.007;1.869;-50;-65;-57;27
4.2257;1.869;-49;-63;-47;28
5.414;1.869;-76;-58;-40;29
6.616;1.869;-56;-58;-43;30
7.8195;1.869;-67;-55;-51;31
9.023;1.869;-65;-48;-59;32
0;2.492;-63;-66;-64;33
1.2031;2.492;-52;-61;-61;34
2.406;2.492;-50;-60;-61;35
3.609;2.492;-55;-65;-53;36
6.0155;2.492;-56;-53;-48;37
7.218;2.492;-62;-52;-55;38
8.421;2.492;-56;-48;-59;39
9.625;2.492;-61;-58;-53;40
